Name,Opening_Price,Closing_Price,Volume_Traded
Afdis Distillers Limited,190,190.0,0.0
Amalgamated Regional Trading (Art) Holdings Limited,8,8.0,0.0
Ariston Holdings Limited,4,3.8987,30600.0
Bridgefort Capital Limited,1.4007,1.4007,0.0
Bridgefort Capital Limited Class B,1.3207,1.3207,0.0
British American Tobacco Zimbabwe Limited,2601,2601.0,0.0
Cafca Limited,621.3121,621.3121,0.0
Cbz Holdings Limited,360,359.973,3700.0
Cfi Holdings Limited,130.05,130.05,0.0
Dairibord Holdings Limited,56.3875,56.25,2300.0
Delta Corporation Limited,710.9765,710.1597,159600.0
Ecocash Holdings Zimbabwe Limited,24.9513,24.9002,77700.0
Econet Wireless Zimbabwe Limited,120.01,121.9756,105000.0
Fbc Holdings Limited,192,192.0,120700.0
Fidelity Life Assurance Limited,58,58.0,0.0
First Mutual Holdings Limited,192,164.0,800.0
First Mutual Properties Limited,26,26.0,0.0
General Beltings Holdings Limited,5,5.0,0.0
Hippo Valley Estates Limited,350.0993,350.0993,0.0
Mashonaland Holdings Limited,15.2641,15.3,1800.0
Masimba Holdings Limited,154,154.0,0.0
Meikles Limited,215.1075,217.3559,86200.0
Nampak Zimbabwe Limited,45,40.0,1000.0
National Tyre Services Limited,12.8064,12.8064,0.0
Nmbz Holdings Limited,144,144.0,0.0
Ok Zimbabwe Limited,54.4,54.4,1700.0
Proplastics Limited,56.1848,47.8,10900.0
Rainbow Tourism Group Limited,21,21.0,0.0
Riozim Limited,63,63.0,0.0
Seed Co Limited,129.8467,133.3358,41100.0
Starafricacorporation Limited,0.8918,0.9655,336000.0
Tanganda Tea Company Limited,194.0836,180.0,8700.0
Tsl Limited,106.25,106.25,0.0
Turnall Holdings Limited,2.54,2.75,5700.0
Unifreight Africa Limited,26,26.0,0.0
Willdale Limited,5,4.0,18900.0
Zb Financial Holdings Limited,220,220.0,0.0
Zeco Holdings Limited,0.0018,0.0018,0.0
Zimbabwe Newspapers (1980) Limited,4.002,4.002,0.0
Zimre Holdings Limited,30.0716,33.5375,800.0
